site;decor;id;type;x;y;sens;long_cm;incomplet;technologie;sym_h;chr_1;tpq;taq
32;Sebastia de la Guarda;stele_2_aaa;17;lance;145.85049566297;-147.489676472888;NA;NA;0;NA;NA;xxx;NA;NA
33;Sebastia de la Guarda;stele_2_aaa;18;lance;165.306789089744;-147.676756217377;NA;NA;0;NA;NA;xxx;NA;NA
34;Sebastia de la Guarda;stele_2_aaa;19;lance;182.51812558266;-144.309320816589;NA;NA;0;NA;NA;xxx;NA;NA
35;Badalona;stele_1_aaa;1;separ;94.6623507110362;-283.612892644132;NA;NA;0;g_piq;NA;xxx;NA;NA
36;Badalona;stele_1_aaa;2;ecriture;102.822154430681;-73.6867172722881;NA;NA;0;NA;NA;xxx;NA;NA
37;Badalona;stele_1_aaa;3;separ;99.641798774381;-91.6463727431566;NA;NA;0;NA;NA;xxx;NA;NA
38;Badalona;stele_1_aaa;4;lance;55.4909790751625;-117.276297738042;NA;NA;0;NA;NA;xxx;NA;NA
39;Badalona;stele_1_aaa;5;lance;70.4573586342196;-118.960015438436;NA;NA;0;NA;NA;xxx;NA;NA
40;Badalona;stele_1_aaa;6;lance;90.4748912944585;-118.772935693948;NA;NA;0;NA;NA;xxx;NA;NA
41;Badalona;stele_1_aaa;7;indet;125.832963002731;-119.147095182924;NA;NA;0;NA;NA;xxx;NA;NA
42;Badalona;stele_1_aaa;8;separ;93.46816720627;-199.591385312856;NA;NA;0;NA;NA;xxx;NA;NA
43;Badalona;stele_1_aaa;9;indet;95.3389646511521;-253.470351725462;NA;NA;0;NA;NA;xxx;NA;NA
44;Badalona;stele_1_aaa;10;rosace;92.9069279728053;-340.836592401457;NA;NA;0;NA;NA;xxx;NA;NA
45;Sebastia de la Guarda;stele_1_aaa;1;lance;62.0169352978428;-62.110475170087;NA;NA;0;g_piq;NA;xxx;NA;NA
46;Sebastia de la Guarda;stele_1_aaa;2;lance;72.1410763346139;-60.7782149026019;NA;NA;0;NA;NA;xxx;NA;NA
47;Sebastia de la Guarda;stele_1_aaa;3;lance;81.1209040700481;-61.0588345193342;NA;NA;0;NA;NA;xxx;NA;NA
48;Sebastia de la Guarda;stele_1_aaa;4;lance;89.6330324442619;-60.3105155413813;NA;NA;0;NA;NA;xxx;NA;NA
49;Sebastia de la Guarda;stele_1_aaa;5;lance;96.9291424793022;-60.5911351581137;NA;NA;0;NA;NA;xxx;NA;NA
50;Sebastia de la Guarda;stele_1_aaa;6;lance;105.06711136454;-60.1234357968931;NA;NA;0;NA;NA;xxx;NA;NA
51;Sebastia de la Guarda;stele_1_aaa;7;lance;114.701718205683;-60.6846750303578;NA;NA;0;NA;NA;xxx;NA;NA
52;Sebastia de la Guarda;stele_1_aaa;8;lance;127.142521214149;-59.5621965634285;NA;NA;0;NA;NA;xxx;NA;NA
53;Sebastia de la Guarda;stele_1_aaa;9;lance;134.438631249189;-59.9363560524049;NA;NA;0;NA;NA;xxx;NA;NA
54;Sebastia de la Guarda;stele_1_aaa;10;lance;142.108900773206;-59.3751168189403;NA;NA;0;NA;NA;xxx;NA;NA
55;Sebastia de la Guarda;stele_1_aaa;11;lance;150.527489275175;-59.8428161801608;NA;NA;0;NA;NA;xxx;NA;NA
56;Sebastia de la Guarda;stele_1_aaa;12;separ;105.254191109028;-89.3078759370545;NA;NA;0;NA;NA;xxx;NA;NA
57;Sebastia de la Guarda;stele_1_aaa;13;lance;123.775085813361;-109.325408597293;NA;NA;0;NA;NA;xxx;NA;NA
58;Sebastia de la Guarda;stele_1_aaa;14;lance;135.37402997163;-108.951249108317;NA;NA;0;NA;NA;xxx;NA;NA
